"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Encounter.js", "JavaScript", 262, 0, 44, 13, 319
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\GameManager.js", "JavaScript", 10, 0, -1, 2, 11
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Patrol.js", "JavaScript", -7, 0, 1, -2, -8
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\PatrolLog.js", "JavaScript", 8, 0, 0, 1, 9
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Sprite.js", "JavaScript", 8, 0, 1, 1, 10
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\UI.js", "JavaScript", 24, 0, 5, 3, 32
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Uboat.js", "JavaScript", 79, 0, 30, 7, 116
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\index.html", "HTML", 0, 2, 0, 0, 2
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\EncounterPopup.js", "JavaScript", 28, 0, 4, 7, 39
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\MissionPopup.js", "JavaScript", 52, 0, 10, 16, 78
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\ResupplyCustomPopup.js", "JavaScript", 156, 0, 8, 14, 178
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\ResupplyPopup.js", "JavaScript", -23, 0, 1, 0, -22
"Total", "-", 597, 2, 103, 62, 764
