"filename", "language", "JavaScript", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Encounter.js", "JavaScript", 1349, 0, 0, 0, 197, 131, 1677
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\GameManager.js", "JavaScript", 336, 0, 0, 0, 49, 43, 428
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\GameObject.js", "JavaScript", 24, 0, 0, 0, 0, 4, 28
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\MenuIcon.js", "JavaScript", 40, 0, 0, 0, 4, 7, 51
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Patrol.js", "JavaScript", 472, 0, 0, 0, 35, 38, 545
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\PatrolLog.js", "JavaScript", 130, 0, 0, 0, 11, 18, 159
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\README.md", "Markdown", 0, 0, 0, 9, 0, 3, 12
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Ship.js", "JavaScript", 169, 0, 0, 0, 8, 30, 207
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Sprite.js", "JavaScript", 329, 0, 0, 0, 74, 61, 464
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\TacticalView.js", "JavaScript", 397, 0, 0, 0, 54, 42, 493
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\UI.js", "JavaScript", 293, 0, 0, 0, 28, 33, 354
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\Uboat.js", "JavaScript", 940, 0, 0, 0, 139, 83, 1162
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\BeginPatrolButton.js", "JavaScript", 14, 0, 0, 0, 1, 2, 17
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\Button.js", "JavaScript", 79, 0, 0, 0, 14, 13, 106
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\ContinuePatrolButton.js", "JavaScript", 13, 0, 0, 0, 1, 2, 16
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\DeckGunButton.js", "JavaScript", 91, 0, 0, 0, 8, 8, 107
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\FireAttackButton.js", "JavaScript", 11, 0, 0, 0, 1, 2, 14
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\OpenStatusButton.js", "JavaScript", 12, 0, 0, 0, 1, 2, 15
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\ReloadButton.js", "JavaScript", 22, 0, 0, 0, 1, 3, 26
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\buttons\TorpedoButton.js", "JavaScript", 196, 0, 0, 0, 30, 8, 234
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\index.html", "HTML", 0, 88, 0, 0, 3, 7, 98
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\init.js", "JavaScript", 6, 0, 0, 0, 0, 2, 8
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\main.js", "JavaScript", 63, 0, 0, 0, 8, 15, 86
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\AdminPopup.js", "JavaScript", 50, 0, 0, 0, 3, 12, 65
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\AircraftPopup.js", "JavaScript", 171, 0, 0, 0, 21, 35, 227
"c:\Users\kbreenbondie\OneDrive - Arbor Oakland Group\Documents\GitHub\Hunters_Site\popups\AttackDepthAndRangePopup.js", "JavaScript", 75, 0, 0, 0, 8, 13, 96
